20140901,350355070,361509652
20140902,351189102,362928649
20140903,352025119,364353217
20140904,352863126,365783376
20140905,353703128,367219149
20140906,354545129,368660557
20140907,355389135,370107623
20140908,356235150,371560369
20140909,357083179,373018818
20140910,357933227,374482991
20140911,358785299,375952912
20140912,359639399,377428602
20140913,360495532,378910084
20140914,361353703,380397382
20140915,362213917,381890518
20140916,363076179,383389514
20140917,363940493,384894394
20140918,364806865,386405182
20140919,365675299,387921899
20140920,366545801,389444570
20140921,367418375,390973218
20140922,368293026,392507865
20140923,369169759,394048537
20140924,370048580,395595256
20140925,370929492,397148046
20140926,371812502,398706932
20140927,372697613,400271936
20140928,373584832,401843083
20140929,374474162,403420397
20140930,375365610,405003903
